expression,reading,meaning,tags
悔しい,くやしい,"regrettable, mortifying, vexing",n3
位,くらい,"grade, rank, about",n3
暮らし,くらし,living life style,n3
暮らす,くらす," live,  get along",n3
繰り返す,くりかえす," repeat,  do something over again",n3
狂う,くるう," go mad,  get out of order",n3
苦しい,くるしい,tough physically strenuous,n3
苦しむ,くるしむ," suffer,  groan,  be worried",n3
暮れ,くれ,"year end,",n3
苦労,くろう,hardship suffering,n3
加える,くわえる," append,  sum up,  add up",n3
咥える,くわえる, hold something in the mouth,n3
詳しい,くわしい,detailed full accurate,n3
加わる,くわわる," join in,  accede ",n3
訓,くん,native japanese reading of a chinese character,n3
軍,ぐん,"army, force, troops",n3
郡,ぐん,"country, district",n3
軍隊,ぐんたい,"army, troops",n3
訓練,くんれん,"practice, training",n3
計,けい,"plan sum, total",n3
敬意,けいい,"respect, honor",n3
経営,けいえい,"management, administration",n3
景気,けいき,"condition, state, business condition",n3
傾向,けいこう,"tendency, trend, inclination",n3
警告,けいこく,warning,n3
計算,けいさん,"calculation, reckoning",n3
掲示,けいじ,"notice, bulletin",n3
刑事,けいじ,"criminal case, police detective",n3
芸術,げいじゅつ,"fine art, the arts",n3
契約,けいやく,"contract, compact, agreement",n3
経由,けいゆ,"go by the way, via",n3
劇,げき,"drama, play",n3
劇場,げきじょう,"theater, playhouse",n3
化粧,けしょう,makeup cosmetic,n3
血液,けつえき,blood,n3
結果,けっか,"result, consequence",n3
欠陥,けっかん,"defect, fault, deficiency",n3
結局,けっきょく,"after all, eventually",n3
決心,けっしん,"determination, resolution",n3
欠席,けっせき,"absence, nonattendance",n3
決定,けってい,"decision, determination",n3
欠点,けってん,"faults, defect, weakness",n3
結論,けつろん,conclusion,n3
煙,けむり,"smoke, fumes",n3
蹴る,ける, kick,n3
券,けん,"ticket, certificate",n3
県,けん,prefecture,n3
見解,けんかい,"opinion, point of view",n3
限界,げんかい,"limit, bound",n3
現金,げんきん,cash,n3
言語,げんご,language,n3
健康,けんこう,healthy,n3
検査,けんさ,"inspection, examination",n3
現在,げんざい,"now same as  , present, current",n3
現実,げんじつ,reality,n3
現象,げんしょう,phenomenon,n3
現状,げんじょう,"present condition, status quo",n3
建設,けんせつ,"construction, foundation",n3
現代,げんだい,"today, presentday",n3
建築,けんちく,"construction, architecture",n3
見当,けんとう,"estimate, guess",n3
検討,けんとう,"consideration, examination, investigation",n3
現場,げんば,"actual spot, scene, field",n3
憲法,けんぽう,constitution,n3
権利,けんり,"right, privilege",n3
後,ご,"afterwards, since then",n3
碁,ご,go board game of capturing territory,n3
恋,こい,"love, tender passion",n3
濃い,こい,"thick as of color, liquid, dense, strong",n3
恋人,こいびと,lover sweetheart girlfriend,n3
幸運,こううん,"good luck, fortune",n3
講演,こうえん,"lecture, talk",n3
効果,こうか,"effect, result",n3
硬貨,こうか,coin,n3
高価,こうか,high price,n3
豪華,ごうか,"luxurious, gorgeous, extravagance",n3
合格,ごうかく,"success, passing , exam",n3
交換,こうかん,"exchange, swap",n3
航空,こうくう,"aviation, flying",n3
光景,こうけい,"scene, spectacle",n3
合計,ごうけい,"sum total, total amount",n3
攻撃,こうげき,"attack, strike, offensive",n3
貢献,こうけん,"contribution, services",n3
広告,こうこく,advertisement,n3
交際,こうさい,"friendship, association, acquaintance",n3
校舎,こうしゃ,school building,n3
後者,こうしゃ,the latter,n3
工場,こうば,"factory, plant",n3
公正,こうせい,"justice, fairness, impartiality",n3
構成,こうせい,"organization, composition",n3
高速,こうそく,"high speed, high gear",n3
行動,こうどう,"action, conduct, behavior",n3
強盗,ごうとう,"robbery, burglary",n3
後輩,こうはい,junior members of a group,n3
幸福,こうふく,"happiness, blessedness",n3
公平,こうへい,"fairness, impartial, justice",n3
候補,こうほ,candidacy,n3
考慮,こうりょ,"consideration, taking into account",n3
越える,こえる," exceed,  cross over,  cross",n3
超える,こえる," exceed,  cross over,  cross",n3
氷,こおり,"ice, hail",n3
凍る,こおる," freeze,  be frozen over,  congeal",n3
誤解,ごかい,misunderstanding,n3
語学,ごがく,language study,n3
呼吸,こきゅう,"breath, respiration",n3
故郷,こきょう,hometown,n3
極,ごく,"quite, very",n3
国語,こくご,national language,n3
国籍,こくせき,nationality,n3
黒板,こくばん,blackboard,n3
克服,こくふく,"conquest, overcome",n3
国民,こくみん,"national, people, citizen",n3
穀物,こくもつ,"grain, cereal, corn",n3
腰,こし,"hip, waist",n3
胡椒,こしょう,pepper,n3
個人,こじん,"individual, private person",n3
越す,こす," go over , with audience",n3
超す,こす," cross,  pass,  tide over",n3
国家,こっか,"state, country, nation",n3
国会,こっかい,"national diet, parliament, congress",n3
国境,こっきょう,national or state border,n3
骨折,こっせつ,bone fracture,n3
小包,こづつみ,"parcel, package",n3
琴,こと,japanese harp,n3
異なる,ことなる," differ,  vary",n3
諺,ことわざ,"proverb, saying",n3
断る,ことわる," refuse,  decline,  dismiss",n3
粉,こな,"flour, powder",n3
好み,このみ,"liking, taste, choice",n3
好む,このむ," like,  prefer",n3
塵,ごみ,"garbage, litter",n3
小麦,こむぎ,wheat,n3
小屋,こや,"hut, cabin, shed",n3
殺す,ころす, kill,n3
転ぶ,ころぶ," fall down,  fall over",n3
今回,こんかい,"now, this time, lately",n3
今後,こんご,"from now on, hereafter",n3
混雑,こんざつ,"confusion, congestion",n3
困難,こんなん,"difficulty, distress",n3
今日,こんにち,"today, this day",n3
婚約,こんやく,"engagement, betrothal",n3
混乱,こんらん,"chaos, confusion, mayhem",n3
差,さ,"difference, variation",n3
際,さい,"on the occasion of, circumstances",n3
最高,さいこう,"highest, supreme, the most",n3
財産,ざいさん,"property, fortune, assets",n3
最終,さいしゅう,"last, closing",n3
最中,さいちゅう,in the middle of,n3
最低,さいてい,"least, lowest, worst",n3
才能,さいのう,"talent, ability",n3
裁判,さいばん,"trial, judgment",n3
材料,ざいりょう,"ingredients, material",n3
幸い,さいわい,fortunately luckily,n3
境,さかい,"border, boundary, mental state",n3
逆らう,さからう," go against,  oppose,  disobey",n3
盛り,さかり,"helping, serving",n3
作業,さぎょう,"work, operation, manufacturing",n3
裂く,さく," tear,  split",n3
昨,さく,"last year, yesterday",n3
作品,さくひん,"work, opus, production",n3
作物,さくもつ,"produce , agricultural, crops",n3
桜,さくら,"cherry blossom, cherry tree",n3
酒,さけ,"alcohol, sake",n3
叫ぶ,さけぶ," shout,  cry",n3
避ける,さける," avoid physical contact  ward off,  avert",n3
支える,ささえる,"support, hold, sustain",n3
刺さる,ささる," stick,  be stuck",n3
刺す,さす," sting,  bite , bug,  prick,  stab",n3
指す,さす," point,",n3
挿す,さす," insert,  put in,  graft",n3
注す,さす," pour drink,  serve drinks",n3
射す,さす," shine,  strike",n3
座席,ざせき,seat,n3
誘う,さそう," invite someone  do something with you  tempt,  lure",n3
札,さつ,"bill, note",n3
作家,さっか,"author, writer, novelist",n3
作曲,さっきょく,composition of music,n3
砂漠,さばく,desert,n3
差別,さべつ,"discrimination, differentiation",n3
豆,まめ,"beans, peas",n3
守る,まもる, protect  abide by the rules,n3
迷う,まよう," be puzzled,  be perplexed,  lose one's way",n3
丸,まる,"circle, full month",n3
万一,まんいち,"by some chance, if by any chance",n3
満足,まんぞく,satisfaction,n3
身,み,"body, main part",n3
実,み,"fruit, seed, good result",n3
見送り,みおくり,seeing one off,n3
味方,みかた,"ally, supporter",n3
見事,みごと,"splendid, magnificent",n3
満ちる,みちる," be full,  mature",n3
密,みつ,"thick, close",n3
認める,みとめる," recognize,  notice  approve",n3
見舞い,みまい,"expression of sympathy, expression of concern",n3
土産,みやげ,souvenir,n3
都,みやこ,city capital,n3
妙,みょう,"strange, unusual",n3
明後日,みょうごにち,day after tomorrow,n3
未来,みらい,future life tense,n3
魅力,みりょく,"charm, fascination, appeal",n3
診る,みる, examine a patient,n3
無,む,"nothing, naught, zero",n3
向かい,むかい,"facing, opposite, across",n3
迎え,むかえ,"meeting, person sent  pick up an arrival",n3
向く,むく, face,n3
剥く,むく," peel,  skin",n3
向ける,むける," turn towards,  point",n3
無視,むし,"disregard, ignore",n3
蒸し暑い,むしあつい,"humid, sultry",n3
虫歯,むしば,"cavity, tooth decay",n3
寧ろ,むしろ,"rather, better, instead",n3
蒸す,むす," steam,  poultice,  be sultry",n3
結ぶ,むすぶ," tie,  bind,  link",n3
無駄,むだ,"futility, uselessness",n3
夢中,むちゅう,"crush, crazy, be hooked on",n3
胸,むね,"breast, chest",n3
無料,むりょう,"free, no charge",n3
芽,め,sprout,n3
明確,めいかく,"clear, definite",n3
名刺,めいし,name card business card,n3
名詞,めいし,noun,n3
命じる,めいじる," order,  command,  appoint",n3
名人,めいじん,"master, expert",n3
命令,めいれい,"order, command, decree",n3
迷惑,めいわく,"trouble, bother, annoyance",n3
目上,めうえ,person of higher status one's senior,n3
飯,めし,"meals, food",n3
滅多に,めったに,"rarely, seldom",n3
面,めん,"face, mug, surface, side or facet, corner, page",n3
綿,めん,cotton,n3
免許,めんきょ,"license, permit, certificate",n3
面接,めんせつ,interview,n3
面倒,めんどう,"trouble, attention",n3
申し込む,もうしこむ," apply for,  make an application",n3
申し訳,もうしわけ,"apology, excuse",n3
毛布,もうふ,blanket,n3
燃える,もえる, burn,n3
目的,もくてき,"purpose, goal, aim",n3
目標,もくひょう,"mark, objective, target",n3
文字,もじ,"letter of alphabet, character",n3
持ち上げる,もちあげる," raise,  lift up,  flatter",n3
用いる,もちいる," use,  make use of",n3
尤も,もっとも,"quite right, plausible, natural",n3
元,もと,"origin, original former",n3
基,もと,basis,n3
素,もと,prime,n3
戻す,もどす," restore,  put back,  return",n3
基づく,もとづく," be grounded on,  be based on",n3
求める,もとめる," request,  ask for  seek,  search for",n3
者,もの,person same as  ,n3
物音,ものおと,sounds,n3
物語,ものがたり,"tale, story, legend",n3
物事,ものごと,"things, everything",n3
燃やす,もやす, burn,n3
模様,もよう,"pattern, figure, design",n3
文句,もんく,a complaint,n3
役,やく,"role, position",n3
約,やく,"approximately, about, some",n3
訳,やく,translation,n3
訳す,やくす, translate,n3
役割,やくわり,"assigning allotment of parts, role, duties",n3
家賃,やちん,rent,n3
厄介,やっかい,"trouble, burden, care",n3
宿,やど,"inn, lodging",n3
雇う,やとう," employ,  hire",n3
屋根,やね,roof,n3
破る,やぶる, tear  violate  defeat,n3
破れる,やぶれる," get torn,  wear out",n3
辞める,やめる, retire,n3
唯一,ゆいいつ,"only, sole, unique",n3
勇気,ゆうき,"courage, bravery, boldness",n3
友好,ゆうこう,friendship,n3
有効,ゆうこう,"valid, effectual",n3
優秀,ゆうしゅう,"superiority, excellence",n3
優勝,ゆうしょう,"overall victory, championship",n3
友情,ゆうじょう,"friendship, fellowship",n3
友人,ゆうじん,friend formal,n3
有能,ゆうのう,"able, capable, efficient",n3
郵便,ゆうびん,"mail, postal service",n3
有利,ゆうり,"advantageous, better",n3
床,ゆか,floor,n3
愉快,ゆかい,"pleasant, happy",n3
譲る,ゆずる," turn over,  assign,  hand over",n3
豊か,ゆたか,"abundant, wealthy, plentiful, rich",n3
茹でる,ゆでる, boil,n3
許す,ゆるす," permit,  allow,  approve",n3
夜,よ,"evening, night",n3
夜明け,よあけ,"dawn, daybreak",n3
酔う,よう, get drunk,n3
容易,ようい,"easy, simple, plain",n3
容器,ようき,"container, vessel",n3
陽気,ようき,"season, weather, cheerfulness",n3
要求,ようきゅう,"request, demand",n3
用心,ようじん,"care, precaution, caution",n3
様子,ようす,"aspect, state, appearance",n3
要するに,ようするに,"in a word, after all, in short …",n3
要素,ようそ,element,n3
要点,ようてん,"gist, main point",n3
曜日,ようび,day of the week,n3
予期,よき,"expectation, forecast",n3
横切る,よこぎる," cross , arms,  traverse",n3
汚す,よごす," pollute,  make dirty",n3
予算,よさん,"estimate, budget",n3
止す,よす," cease,  give up",n3
寄せる,よせる," collect,  gather,  put aside",n3
予測,よそく,"prediction, estimation",n3
夜中,よなか,"midnight, dead of night",n3
世の中,よのなか,"society, the world",n3
余分,よぶん,"extra, excess, surplus",n3
予報,よほう,"forecast, prediction",n3
予防,よぼう,"prevention, protection against",n3
読み,よみ,reading,n3
嫁,よめ,"bride, daughterinlaw",n3
余裕,よゆう,excess surplus,n3
因る,よる, come from,n3
喜び,よろこび,"joy, pleasure, rejoicing",n3
四,よん,four,n3
来,らい,next ,n3
楽,らく,"comfort, ease",n3
利益,りえき,"profits, gains",n3
理解,りかい,"understanding, comprehension",n3
陸,りく,"land, shore",n3
利口,りこう,"clever, shrewd, bright",n3
離婚,りこん,divorce,n3
理想,りそう,ideal,n3
率,りつ,"rate, ratio, percentage",n3
留学,りゅうがく,studying abroad,n3
流行,りゅうこう,"fashionable, fad, prevailing",n3
量,りょう,"quantity, amount",n3
寮,りょう,"hostel, dormitory",n3
両替,りょうがえ,"change, money exchange",n3
料金,りょうきん,"fee, charge, fare",n3
例,れい,"instance, example, case",n3
礼,れい,expression of gratitude bow,n3
例外,れいがい,exception,n3
礼儀,れいぎ,"manners, courtesy, etiquette",n3
冷静,れいせい,"calm, coolness",n3
列,れつ,"queue, line, row",n3
列車,れっしゃ,train ordinary,n3
連想,れんそう,"association of ideas, suggestion",n3
連続,れんぞく,"consecutive, continuity, continuing",n3
老人,ろうじん,"the aged, old person",n3
労働,ろうどう,"labor, work",n3
論じる,ろんじる," argue,  discuss",n3
論争,ろんそう,"controversy, dispute",n3
論文,ろんぶん,"thesis, paper",n3
輪,わ,"ring, hoop, circle",n3
別れ,わかれ,"parting, separation, farewell",n3
分かれる,わかれる," branch off,  diverge from",n3
脇,わき,side,n3
湧く,わく," boil,  grow hot",n3
分ける,わける," divide,  separate",n3
僅か,わずか,"only, merely, a little",n3
話題,わだい,"topic, subject",n3
笑い,わらい,"laugh, laughter, smile",n3
割る,わる," divide,  break",n3
悪口,わるくち,"abuse, insult",n3
我々,われわれ,we,n3
湾,わん,"bay, gulf, inlet",n3
椀,わん,bowl,n3
碗,わん,bowl,n3
悪,あく,"evil, vice",n3
当り,あたり,"hit, success, reaching the mark",n3
宛てる,あてる," address,  put",n3
異,い,difference of opinion,n3
意,い,will,n3
医院,いいん,"doctor's office surgery, clinic",n3
怒り,いかり,anger,n3
粋,いき,"chic, style, purity",n3
意地,いじ,"disposition, spirit, obstinacy, appetite",n3
依然,いぜん,"still, as yet",n3
傷める,いためる," damage,  impair,  spoil",n3
炒める,いためる, stirfry,n3
一帯,いったい,"a region, the whole place",n3
異動,いどう,"a change, transfer",n3
衣料,いりょう,clothing,n3
渦,うず,swirl,n3
埋まる,うまる," be buried,  be filled",n3
産む,うむ," give birth ,  deliver,  produce",n3
縁,えん,"chance, tie, relationship",n3
尾,お,"tail, ridge",n3
負う,おう," bear,  owe",n3
遅れ,おくれ,"delay, lag",n3
教え,おしえ,"teachings, doctrine",n3
驚き,おどろき,"surprise, astonishment, wonder",n3
織る,おる, weave,n3
欠く,かく," lack,  crack",n3
核,かく,"nucleus, kernel",n3
格,かく,"status, character, case",n3
学歴,がくれき,academic background,n3
駆ける,かける, run,n3
賭ける,かける," bet,  risk,  gamble",n3
課題,かだい,"subject, theme, task",n3
片付け,かたづけ,"tidying up, finishing",n3
加味,かみ,"seasoning, flavoring",n3
借り,かり,"borrowing, debt, loan",n3
狩り,かり,hunting,n3
～観,かん,"feeling, view",n3
癌,がん,cancer,n3
刊行,かんこう,"publication, issue",n3
慣行,かんこう,"customary practice, habit, traditional event",n3
歓声,かんせい,"cheer, shout of joy",n3
官僚,かんりょう,"bureaucrat, bureaucracy",n3
器官,きかん,"organ of body, instrument",n3
季刊,きかん,"quarterly , magazine",n3
起源,きげん,"origin, beginning, rise",n3
機構,きこう,"mechanism, organization",n3
築く,きずく," build,  establish",n3
規制,きせい,regulation,n3
丘陵,きゅうりょう,hill,n3
協議,きょうぎ,"conference, discussion, negotiation",n3
享受,きょうじゅ,"enjoyment, being given",n3
協調,きょうちょう,"cooperation, conciliation, harmony",n3
切り,きり,"limits, place  leave off",n3
菌,きん,"germ, bacterium",n3
近視,きんし,nearsightedness,n3
苦,く,"trouble, worry, difficulty",n3
群,ぐん,group,n3
刑,けい,"penalty, sentence, punishment",n3
経緯,けいい,"sequence of events, course",n3
計器,けいき,"meter, gauge",n3
契機,けいき,"opportunity, chance",n3
携帯,けいたい,carrying something mobile telephone,n3
形態,けいたい,"form, shape, figure",n3
血管,けっかん,blood vessel,n3
決行,けっこう,"doing with resolve, carrying out , a plan",n3
件,けん,"matter, case, item",n3
減少,げんしょう,"decrease, reduction, decline",n3
公演,こうえん,public performance,n3
後悔,こうかい,"regret, repentance",n3
航海,こうかい,"sail, voyage",n3
拘束,こうそく,"restriction, restraint",n3
荒廃,こうはい,ruin,n3
降伏,こうふく,"capitulation, surrender, submission",n3
興奮,こうふん,"excitement, stimulation",n3
語句,ごく,"words, phrases",n3
個々,ここ,"individual, one by one",n3
故人,こじん,the deceased,n3
小銭,こぜに,"coins, small change",n3
採集,さいしゅう,"collecting, gathering",n3
作,さく,"a work, a harvest",n3
策,さく,"plan, policy",n3
設備,せつび,"equipment, device, facilities",n3
絶滅,ぜつめつ,"destruction, extinction",n3
節約,せつやく,"economizing, saving",n3
攻める,せめる," attack,  assault",n3
責める,せめる," condemn,  blame,  criticize",n3
善,ぜん,"good, virtue",n3
全,ぜん,"all, whole, entire",n3
全員,ぜんいん,all members,n3
専攻,せんこう,"major subject, special study",n3
全国,ぜんこく,"the entire nation, countrywide, nationwide",n3
洗剤,せんざい,detergent,n3
先日,せんじつ,"the other day, a few days ago",n3
前者,ぜんしゃ,the former,n3
選手,せんしゅ,player selected for a team usually athletic,n3
全身,ぜんしん,"the whole body, fulllength portrait",n3
前進,ぜんしん,"advance, drive, progress",n3
全体,ぜんたい,"whole, entirety, whatever is the matter",n3
選択,せんたく,"selection, choice",n3
宣伝,せんでん,"advertisement, publicity",n3
象,ぞう,elephant,n3
騒音,そうおん,noise,n3
増加,ぞうか,"increase, addition",n3
操作,そうさ,"operation, management, processing",n3
想像,そうぞう,"imagination, guess",n3
相続,そうぞく,"succession, inheritance",n3
装置,そうち,"equipment, installation, apparatus",n3
相当,そうとう,"considerably, fairly worth ",n3
速度,そくど,"speed, velocity, rate",n3
底,そこ,"bottom, sole",n3
組織,そしき,organization structure tissue,n3
注ぐ,そそぐ, pour into,n3
育つ,そだつ," be brought up,  grow up",n3
袖,そで,sleeve,n3
備える,そなえる," prepare,  furnish,  store",n3
具える,そなえる, be furnished with,n3
蕎麦,そば,soba buckwheat noodles,n3
粗末,そまつ,"humble, miserable, crude",n3
揃う,そろう," become complete,  be equal",n3
揃える,そろえる," put things in order,  arrange",n3
損,そん,"loss, disadvantage",n3
損害,そんがい,"damage, loss",n3
尊敬,そんけい,"respect, reverence, honor",n3
存在,そんざい,"existence, being",n3
尊重,そんちょう,"respect, esteem, regard",n3
田,た,rice field,n3
他,た,other esp places and things,n3
対,たい,"pair, couple, set",n3
大,だい,"big, great",n3
題,だい,"title, subject, theme",n3
体育,たいいく,"physical education, gymnastics, athletics",n3
体温,たいおん,temperature body,n3
大会,たいかい,"convention, big tournament, mass meeting",n3
大気,たいき,atmosphere,n3
代金,だいきん,"price, cost",n3
退屈,たいくつ,"tedium, boring",n3
滞在,たいざい,"stay, sojourn",n3
大使,たいし,ambassador,n3
大した,たいした,"significant, great, considerable",n3
体重,たいじゅう,body weight,n3
対象,たいしょう,"target object of worship, study, etc subject ie, of taxation",n3
対照,たいしょう,"contrast, antithesis, comparison",n3
大臣,だいじん,cabinet minister,n3
対する,たいする," face,  confront,  oppose",n3
大戦,たいせん,"great war, great battle",n3
態度,たいど,"attitude, manner",n3
大統領,だいとうりょう,president,n3
大半,たいはん,"most of, majority, mostly",n3
代表,だいひょう,"representative, delegation",n3
大部分,だいぶぶん,"most part, majority",n3
逮捕,たいほ,"arrest, apprehension, capture",n3
題名,だいめい,title,n3
太陽,たいよう,sun,n3
平ら,たいら,"flatness, level, smooth",n3
代理,だいり,"representation, proxy, deputy",n3
大陸,たいりく,continent,n3
倒す,たおす," throw down,  beat",n3
互い,たがい,"mutual, each other",n3
高める,たかめる," raise,  lift,  boost",n3
宝,たから,treasure,n3
宅,たく,"house, home",n3
炊く,たく," boil,  cook",n3
焚く,たく," burn,  kindle,  build a fire",n3
確かめる,たしかめる," ascertain,  make sure",n3
多少,たしょう,a little same as  ,n3
助かる,たすかる, be saved something helps ,n3
助ける,たすける," help ,  save,  rescue",n3
只,ただ,"free of charge, mere, only",n3
唯,ただ,"mere, sole, plain",n3
戦い,たたかい,"battle, fight",n3
戦う,たたかう," fight,  compete,  battle",n3
叩く,たたく," strike,  beat",n3
直ちに,ただちに,"at once, immediately",n3
畳む,たたむ, fold clothes,n3
立ち上がる,たちあがる, stand up,n3
立場,たちば,"standpoint, position, situation",n3
建つ,たつ," stand  be built ,  erect,  be erected",n3
経つ,たつ,time passes,n3
達する,たっする," reach,  get ",n3
谷,たに,valley,n3
他人,たにん,"unrelated person, stranger",n3
種,たね,seed material cause,n3
束,たば,"bunch, bundle",n3
足袋,たび,japanese socks with split toe,n3
度,たび,counter for occurrences,n3
旅,たび,"travel, trip, journey",n3
玉,たま,"ball, sphere, coin",n3
弾,たま,"bullet, shot",n3
偶,たま,"even number, couple, friend",n3
騙す,だます," trick,  cheat,  deceive",n3
偶々,たまたま,"unexpectedly, accidentally, by chance",n3
溜まる,たまる," collect,  gather,  accumulate",n3
黙る,だまる, be silent,n3
試し,ためし,"trial, test",n3
試す,ためす," attempt,  test",n3
溜める,ためる," accumulate,  collect",n3
便り,たより,"news, correspondence, letter",n3
頼る,たよる," rely on,  have recourse ,  depend on",n3
段,だん,"step, stair, grade",n3
単位,たんい,"credit for a course in school unit, denomination",n3
単語,たんご,word vocabulary,n3
男子,だんし,young man,n3
単純,たんじゅん,simplicity,n3
誕生,たんじょう,birth,n3
団体,だんたい,"organization, association",n3
担当,たんとう,in charge,n3
単なる,たんなる,"mere, simple, sheer",n3
単に,たんに,"simply, merely",n3
地,ち,earth,n3
地位,ちい,"social position, status",n3
地域,ちいき,"area, region",n3
知恵,ちえ,"wisdom, wit, intelligence",n3
地下,ちか,"basement, underground",n3
違い,ちがい,"difference, discrepancy",n3
違いない,ちがいない,"phrase sure, no mistaking it, for certain",n3
近頃,ちかごろ,"lately, recently, nowadays",n3
地球,ちきゅう,the earth,n3
地区,ちく,"district, section",n3
遅刻,ちこく,"lateness, late coming",n3
知事,ちじ,prefectural governor,n3
知識,ちしき,"knowledge, information",n3
父親,ちちおや,father,n3
知能,ちのう,"intelligence, brains",n3
地平線,ちへいせん,horizon,n3
地方,ちほう,"area, locality, region",n3
茶,ちゃ,tea,n3
中,ちゅう,"inside, middle, among",n3
注,ちゅう,"annotation, explanatory note",n3
中央,ちゅうおう,"central, center, middle",n3
中学,ちゅうがく,"middle school, junior high school",n3
中古,ちゅうこ,"used, secondhand",n3
中止,ちゅうし,"suspension, stoppage, discontinuance",n3
駐車,ちゅうしゃ,"parking , car",n3
昼食,ちゅうしょく,lunch same as  ,n3
中心,ちゅうしん,"center, core",n3
注目,ちゅうもく,"notice, attention, observation",n3
注文,ちゅうもん,"order, request",n3
長期,ちょうき,long time period,n3
調査,ちょうさ,survey investigation,n3
調子,ちょうし,"condition, state, tune, tone",n3
頂上,ちょうじょう,"top, summit, peak",n3
貯金,ちょきん,bank savings,n3
直接,ちょくせつ,"direct, immediate, firsthand",n3
著者,ちょしゃ,"author, writer",n3
散らす,ちらす," scatter,  disperse,  distribute",n3
散る,ちる," fall,  scatter , blossoms",n3
遂に,ついに,"finally, at last",n3
通過,つうか,"passage through, passing",n3
通貨,つうか,currency,n3
通学,つうがく,commuting  school,n3
通勤,つうきん,commuting  work,n3
通行,つうこう,"passage, passing",n3
通じる,つうじる," run ,  lead ,  communicate",n3
通信,つうしん,"correspondence, communications",n3
通訳,つうやく,interpretation interpreter,n3
捕まる,つかまる, be arrested  be caught,n3
掴む,つかむ," seize,  catch,  grasp",n3
疲れ,つかれ,"tiredness, fatigue",n3
付き合い,つきあい,socialization friendship association,n3
付合う,つきあう," associate with,  keep company with,  get on with",n3
次々,つぎつぎ,"in succession, one by one",n3
付く,つく," adjoin,  be attached,  adhere",n3
就く,つく," settle in place,  take seat position,  study under teacher",n3
突く,つく," thrust,  strike  poke",n3
次ぐ,つぐ," rank next ,  come after",n3
付ける,つける," attach,  join,  add",n3
着ける,つける," put on,  wear  draw up",n3
伝わる,つたわる," be handed down,  be transmitted",n3
土,つち,"earth, soil",n3
続き,つづき,"sequel, continuation",n3
包み,つつみ,"bundle, package",n3
勤め,つとめ,"work, employment",n3
務め,つとめ,duty,n3
繋がる,つながる," be connected ,  be related ",n3
繋ぐ,つなぐ," tie,  fasten,  connect",n3
繋げる,つなげる, connect,n3
常に,つねに,always same as  written expression,n3
翼,つばさ,wings,n3
罪,つみ,"crime, fault, indiscretion",n3
積む,つむ," pile up,  stack",n3
詰める,つめる," pack,  shorten,  work out details",n3
積もる,つもる, pile up,n3
梅雨,つゆ,rainy season,n3
辛い,つらい,"painful, heartbreaking",n3
釣,つり,fishing,n3
連れ,つれ,"companion, company",n3
出,で,"outflow, coming going out, graduate of",n3
出会い,であい,"meeting, rendezvous, encounter",n3
出合い,であい,an encounter,n3
出会う,であう," meet by chance,  come across,  happen  encounter",n3
提案,ていあん,"proposal, proposition, suggestion",n3
定期,ていき,fixed term,n3
抵抗,ていこう,"resistance, opposition",n3
提出,ていしゅつ,"presentation, submission, filing",n3
停電,ていでん,failure of electricity,n3
程度,ていど,"degree, amount, level",n3
停留所,ていりゅうじょ,bus or tram stop,n3
敵,てき,"enemy, rival",n3
出来事,できごと,"incident happening, event",n3
適する,てきする," fit,  suit",n3
適切,てきせつ,"appropriate, adequate, relevance",n3
適度,てきど,moderate,n3
適用,てきよう,applying,n3
手品,てじな,"conjuring trick, magic",n3
鉄,てつ,iron,n3
哲学,てつがく,philosophy,n3
手伝い,てつだい,"help, helper, assistant",n3
徹底,てってい,"thoroughness, completeness",n3
鉄道,てつどう,railway railroad,n3
徹夜,てつや,"staying up all night, sleepless night",n3
手間,てま,"time, labor",n3
典型,てんけい,"type, pattern, archetypal",n3
天候,てんこう,weather,n3
電子,でんし,electron electronic,n3
伝統,でんとう,"tradition, convention",n3
天然,てんねん,"nature, spontaneity",n3
問い,とい,"question, query",n3
党,とう,party political,n3
塔,とう,"tower, pagoda",n3
答案,とうあん,"examination paper, examination script",n3
同一,どういつ,"identity, sameness, similarity",n3
銅貨,どうか,copper coin,n3
当時,とうじ,"at that time, in those days same as ",n3
動詞,どうし,verb,n3
同時,どうじ,"simultaneously, same time",n3
到着,とうちゃく,arrival,n3
道徳,どうとく,morals,n3
投票,とうひょう,"voting, poll",n3
東洋,とうよう,orient,n3
同様,どうよう,"identical, same kind, like",n3
童謡,どうよう,"children's song, nursery rhyme",n3
同僚,どうりょう,colleague coworker,n3
道路,どうろ,road,n3
通す,とおす," let pass,  overlook,  continue",n3
通り過ぎる,とおりすぎる," pass,  pass through",n3
都会,とかい,city,n3
溶く,とく, dissolve paint,n3
解く,とく," unfasten answer, solve",n3
退く,どく," retreat,  recede,  withdraw",n3
毒,どく,"poison, toxicant",n3
得意,とくい,"pride, triumph, prosperity",n3
読書,どくしょ,reading,n3
独身,どくしん,"single, unmarried",n3
特徴,とくちょう,characteristics features traits,n3
特長,とくちょう,"forte, merit",n3
独特,どくとく,"peculiarity, uniqueness, characteristic",n3
独立,どくりつ,"independence , ind day, selfsupport",n3
溶ける,とける," melt,  thaw,  dissolve",n3
解ける,とける," come untied,  come apart",n3
登山,とざん,mountainclimbing,n3
都市,とし,"town, city, urban",n3
年月,としつき,months and years,n3
図書,としょ,books,n3
年寄,としより,"old people, the aged",n3
閉じる,とじる," close , book, eyes,  shut",n3
